RECID|DEAL_NUMBER|COMPANY_CODE|BOOKING_DATE|VALUE_DATE|AMOUNT_LCY|AMOUNT_FCY|TRANSACTION_CODE|TRANS_REFERENCE|SYSTEM_ID|CONSOL_KEY_TYPE|DATE_TIME|REVERSAL_MARKER
196316564280535.040001|840002925298|CA0017623|20210930|20210930|190.14||SUS|FT21273P7SC6|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2109292222|
196319076180494.020001|840002925298|CA0017623|20210930|20210930|642.89||SUS|FT21273DHBHY|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2109292221|
196323314074356.010001|840002925298|CA0017623|20211001|20210930|642.89||SUS|FT212736HTK2|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2109302039|
196325640474331.010001|840002925298|CA0017623|20211001|20210930|190.14||SUS|FT2127373B8V|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2109302038|
194178374976709.010001|840002925298|CA0017623|20210228|20210228|190.14||SUS|FT21059KWS25|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2102272045|
194178374976715.020001|840002925298|CA0017623|20210228|20210228|657.37||SUS|FT21059WMBGL|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2102272045|
194152841211151.010001|840002925298|CA0017623|20210226|20210226|-365.00||SUS|FT210578YNS5|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2102252245|
196091427254572.030001|840002925298|CA0017623|20210907|20210831|-190.14||SUS|FT2124337RQ0|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2109071509|R
196091329454536.030001|840002925298|CA0017623|20210907|20210831|-642.89||SUS|FT21243HL91G|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2109071508|R
196021628875073.010001|840002925298|CA0017623|20210901|20210831|190.14||SUS|FT2124337RQ0|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2108312051|
196013579783478.020001|840002925298|CA0017623|20210831|20210831|-368.00||SUS|FT21243ZTBG7|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2108302311|
196019166082675.020001|840002925298|CA0017623|20210831|20210831|190.14||SUS|FT21243ZR9QR|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2108302257|
196019166082684.020001|840002925298|CA0017623|20210831|20210831|642.89||SUS|FT2124347H4D|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2108302258|
196025640175088.000001|840002925298|CA0017623|20210901|20210831|642.89||SUS|FT21243HL91G|FT|AC.1.TR.CAD.3053.1001.BUYBACK.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2108312051|
190843105041577.010001|840002925298|CA0017623|20200331|20200331|-358.13||SUS|FT20091YS0NC|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2003310359|
190840939939644.020001|840002925298|CA0017623|20200331|20200331|83.67||SUS|FT20091DRJGP|FT|AC.1.TR.CAD.3053.1001.SOLDON.NONREV.GENWORTH..1......CA0017623.AASUSPENSE|2003310327|
