BATCH.STAGE,BATCH,JOB.NAME,START.TIME,END.TIME,ELAPSED.TIME,PROCESSED RECS,THROUGHPUT,COMPLETED RECS,SELECTION.TIME,BULK.NO,TXN.MGMT,WRITE.CACHE,LOCK.COLLISION,TOTAL WRITE,,DET PROCESSED,DET COMPLETED,DET THROUGHPUT,DET BULK.NUMBER,DET SELECT,TYPE OF SELECT, DET SELECT TIME
S014,B2B/GROUP.ACCRUAL.EOD,EOD.POST.GROUP.ACCRUAL,14:50:20,14:50:20,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FB2B.GROUP.ACCRUAL.BALANCES,ALL,1
S014,B2B/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.CYCLE,14:50:20,14:50:20,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,PREDEFINED,0
S014,BLT/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.COB,14:50:17,14:50:17,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.ACCOUNT.ACT,FILTER,0
S014,BLT/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL,14:50:18,14:50:18,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.GROUP.ACCRUAL.DETAIL,ALL,1
S014,BLT/GROUP.ACCRUAL.EOD,EOD.GROUP.POST.ACCRUAL,14:50:19,14:50:19,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.GROUP.ACCRUAL.BALANCES,ALL,1
S014,BLT/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL.POST,14:50:19,14:50:19,00:00:00,1,60,1,0,0,Y,N,0,0,,1,1,60,0,SingleThread,,0
S014,BLT/GROUP.ACCRUAL.EOD,EOD.POST.GROUP.ACCRUAL,14:50:20,14:50:20,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FBLT.GROUP.ACCRUAL.BALANCES,ALL,1
S014,BLT/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.CYCLE,14:50:20,14:50:20,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,,PREDEFINED,0
S014,BNK/GROUP.ACCRUAL.EOD,GROUP.ACCRUAL.COB,14:50:17,14:50:18,00:00:01,1,60,1,0,0,Y,Y,0,0,,1,1,60,0,SELECT FBNK.ACCOUNT.ACT,FILTER,0
S014,BNK/GROUP.ACCRUAL.EOD,EOD.GROUP.ACCRUAL,14:50:18,14:50:18,00:00:00,0,0,0,0,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.GROUP.ACCRUAL.DETAIL,ALL,0
S014,BNK/GROUP.ACCRUAL.EOD,EOD.GROUP.POST.ACCRUAL,14:50:19,14:50:19,00:00:01,0,0,0,1,0,Y,N,0,0,,0,0,0,0,SELECT FBNK.GROUP.ACCRUAL.BALANCES,ALL,1
