=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.20 12:35:56 =~=~=~=~=~=~=~=~=~=~=~=
tRun LAUR.IO.TEST
Program started 
Time taken for Initialise Variable:   1
Time taken for Opening Connection to reach table:   1025
ud3600t2402
Time taken for Execute host Name:   4
Time for WRITE :   TEST308    2
Time for WRITE :   TEST309    1
Time for WRITE :   TEST310    1
Time for WRITE :   TEST311    1
Time for WRITE :   TEST312    2
Time for WRITE :   TEST313    1
Time for WRITE :   TEST314    1
Time for WRITE :   TEST315    2
Time for WRITE :   TEST316    1
Time for WRITE :   TEST317    1
Time for WRITE :   TEST318    2
Time for WRITE :   TEST319    1
Time for WRITE :   TEST320    2
Time for WRITE :   TEST321    2
Time for WRITE :   TEST322    2
Time for WRITE :   TEST323    1
Time for WRITE :   TEST324    1
Time for WRITE :   TEST325    2
Time for WRITE :   TEST326    2
Time for WRITE :   TEST327    2
Time for WRITE :   TEST328    2
Time for WRITE :   TEST329    13
Time for WRITE :   TEST330    3
Time for WRITE :   TEST331    2
Time for WRITE :   TEST332    1
Time for WRITE :   TEST333    20
Time for WRITE :   TEST334    9
Time for WRITE :   TEST335    9
Time for WRITE :   TEST336    15
Time for WRITE :   TEST337    2
Time for WRITE :   TEST338    5
Time for WRITE :   TEST339    3
Time for WRITE :   TEST340    3
Time for WRITE :   TEST341    1
Time for WRITE :   TEST342    1
Time for WRITE :   TEST343    2
Time for WRITE :   TEST344    1
Time for WRITE :   TEST345    1
Time for WRITE :   TEST346    2
Time for WRITE :   TEST347    1
Time for WRITE :   TEST348    2
Time for WRITE :   TEST349    2
Time for WRITE :   TEST350    1
Time for WRITE :   TEST351    1
Time for WRITE :   TEST352    2
Time for WRITE :   TEST353    1
Time for WRITE :   TEST354    1
Time for WRITE :   TEST355    2
Time for WRITE :   TEST356    1
Time for WRITE :   TEST357    1
Time for WRITE :   TEST358    2
Time for WRITE :   TEST359    2
Time for WRITE :   TEST360    2
Time for WRITE :   TEST361    1
Time for WRITE :   TEST362    2
Time for WRITE :   TEST363    2
Time for WRITE :   TEST364    1
Time for WRITE :   TEST365    2
Time for WRITE :   TEST366    2
Time for WRITE :   TEST367    1
Time for WRITE :   TEST368    2
Time for WRITE :   TEST369    2
Time for WRITE :   TEST370    1
Time for WRITE :   TEST371    2
Time for WRITE :   TEST372    1
Time for WRITE :   TEST373    2
Time for WRITE :   TEST374    1
Time for WRITE :   TEST375    1
Time for WRITE :   TEST376    2
Time for WRITE :   TEST377    1
Time for WRITE :   TEST378    2
Time for WRITE :   TEST379    1
Time for WRITE :   TEST380    1
Time for WRITE :   TEST381    1
Time for WRITE :   TEST382    1
Time for WRITE :   TEST383    2
